# x, Trad, Tgas
2.543314620536e-03, 1.006600861361e+00, 1.000827415506e+00
2.574142676543e-03, 1.006812166985e+00, 1.000865540009e+00
2.604970732549e-03, 1.006996924077e+00, 1.000885081361e+00
2.635798788556e-03, 1.007219774586e+00, 1.000925465429e+00
2.666626844562e-03, 1.007415502669e+00, 1.000946164224e+00
2.697454900569e-03, 1.007650529517e+00, 1.000988939050e+00
2.728282956575e-03, 1.007857873094e+00, 1.001010856053e+00
2.759111012582e-03, 1.008105741817e+00, 1.001056169622e+00
2.789939068588e-03, 1.008325376452e+00, 1.001079382409e+00
2.820767124595e-03, 1.008586788628e+00, 1.001127363924e+00
2.851595180601e-03, 1.008819422209e+00, 1.001151953991e+00
2.882423236608e-03, 1.009095118677e+00, 1.001202759381e+00
2.913251292614e-03, 1.009341493566e+00, 1.001228810225e+00
2.944079348621e-03, 1.009632256928e+00, 1.001282604098e+00
2.974907404627e-03, 1.009893151198e+00, 1.001310194539e+00
3.005735460634e-03, 1.010199806871e+00, 1.001367169542e+00
3.036563516640e-03, 1.010476036174e+00, 1.001396371255e+00
3.067391572647e-03, 1.010799452048e+00, 1.001456685275e+00
3.098219628653e-03, 1.011091873179e+00, 1.001487633728e+00
3.129047684660e-03, 1.011432960457e+00, 1.001551502215e+00
3.159875740666e-03, 1.011742475774e+00, 1.001584251696e+00
3.190703796673e-03, 1.012102189700e+00, 1.001651885763e+00
3.221531852679e-03, 1.012429749916e+00, 1.001686565768e+00
3.252359908686e-03, 1.012809091334e+00, 1.001758165536e+00
3.283187964692e-03, 1.013155697547e+00, 1.001794892154e+00
3.314016020699e-03, 1.013555712641e+00, 1.001870698810e+00
3.344844076705e-03, 1.013922418219e+00, 1.001909585151e+00
3.375672132712e-03, 1.014344199599e+00, 1.001989848027e+00
3.406500188718e-03, 1.014732115630e+00, 1.002031012893e+00
3.437328244725e-03, 1.015176805419e+00, 1.002115990793e+00
3.468156300731e-03, 1.015587105161e+00, 1.002159591047e+00
3.498984356738e-03, 1.016055895468e+00, 1.002249533494e+00
3.529812412744e-03, 1.016489814167e+00, 1.002295693108e+00
3.560640468751e-03, 1.016983947037e+00, 1.002390957849e+00
3.591468524757e-03, 1.017442782395e+00, 1.002439804759e+00
3.622296580764e-03, 1.017963549855e+00, 1.002540620086e+00
3.653124636770e-03, 1.018448663197e+00, 1.002592383916e+00
3.683952692777e-03, 1.018997414077e+00, 1.002699098717e+00
3.714780748783e-03, 1.019510232916e+00, 1.002753855996e+00
3.745608804790e-03, 1.020088376797e+00, 1.002866907016e+00
3.776436860796e-03, 1.020630395720e+00, 1.002924890484e+00
3.807264916803e-03, 1.021239405262e+00, 1.003044415193e+00
3.838092972809e-03, 1.021812185780e+00, 1.003105860734e+00
3.868921028816e-03, 1.022453598215e+00, 1.003232475475e+00
3.899749084822e-03, 1.023058767862e+00, 1.003297336212e+00
3.930577140829e-03, 1.023734187511e+00, 1.003431251935e+00
3.961405196835e-03, 1.024373443696e+00, 1.003500238805e+00
3.992233252842e-03, 1.025084546972e+00, 1.003641264250e+00
4.023061308848e-03, 1.025759654659e+00, 1.003714587896e+00
4.053889364855e-03, 1.026508193459e+00, 1.003864456880e+00
4.084717420861e-03, 1.027220989990e+00, 1.003941530971e+00
4.115545476868e-03, 1.028008793420e+00, 1.004099034745e+00
4.146373532874e-03, 1.028761179720e+00, 1.004185999696e+00
4.177201588881e-03, 1.029590165065e+00, 1.004347908566e+00
4.208029644887e-03, 1.030384094295e+00, 1.004438929806e+00
4.238857700894e-03, 1.031256249371e+00, 1.004614413608e+00
4.269685756900e-03, 1.032093774379e+00, 1.004711223198e+00
4.300513812907e-03, 1.033011168157e+00, 1.004889179491e+00
4.331341868913e-03, 1.033894392089e+00, 1.004999586011e+00
4.362169924920e-03, 1.034859200671e+00, 1.005188564647e+00
4.392997980926e-03, 1.035790317120e+00, 1.005298274013e+00
4.423826036933e-03, 1.036804750700e+00, 1.005500159776e+00
4.454654092939e-03, 1.037786042331e+00, 1.005625516791e+00
4.485482148946e-03, 1.038852418218e+00, 1.005828276447e+00
4.516310204952e-03, 1.039886206362e+00, 1.005960932961e+00
4.547138260959e-03, 1.041006902705e+00, 1.006184986158e+00
4.577966316965e-03, 1.042095646947e+00, 1.006321523623e+00
4.608794372972e-03, 1.043273090327e+00, 1.006548440068e+00
4.639622428978e-03, 1.044419296616e+00, 1.006706536846e+00
4.670450484985e-03, 1.045656036071e+00, 1.006946772829e+00
4.701278540991e-03, 1.046862306288e+00, 1.007102334867e+00
4.732106596998e-03, 1.048160888433e+00, 1.007360661110e+00
4.762934653004e-03, 1.049429934841e+00, 1.007538356358e+00
4.793762709011e-03, 1.050793018796e+00, 1.007797016734e+00
4.824590765017e-03, 1.052127576970e+00, 1.007982507580e+00
4.855418821024e-03, 1.053557862604e+00, 1.008271069624e+00
4.886246877030e-03, 1.054960828918e+00, 1.008464822572e+00
4.917074933037e-03, 1.056461062889e+00, 1.008752683869e+00
4.947902989043e-03, 1.057935336288e+00, 1.008972940741e+00
4.978731045050e-03, 1.059508386471e+00, 1.009285443299e+00
5.009559101056e-03, 1.061056967716e+00, 1.009501330084e+00
5.040387157063e-03, 1.062705664075e+00, 1.009830251468e+00
5.071215213069e-03, 1.064331614671e+00, 1.010080960849e+00
5.102043269076e-03, 1.066058947303e+00, 1.010415492528e+00
5.132871325082e-03, 1.067765345804e+00, 1.010669141636e+00
5.163699381089e-03, 1.069574312056e+00, 1.011040145542e+00
