# x, Trad, Tgas
3.829833984375e-03, 1.021811466443e+00, 1.003113574219e+00
3.860595703125e-03, 1.022490085168e+00, 1.003240553774e+00
3.891357421875e-03, 1.023057545514e+00, 1.003305579546e+00
3.922119140625e-03, 1.023771450680e+00, 1.003439977137e+00
3.952880859375e-03, 1.024371643639e+00, 1.003508796188e+00
3.983642578125e-03, 1.025122563943e+00, 1.003651071083e+00
4.014404296875e-03, 1.025757213834e+00, 1.003723935778e+00
4.045166015625e-03, 1.026546937697e+00, 1.003874552470e+00
4.075927734375e-03, 1.027217831212e+00, 1.003951684803e+00
4.106689453125e-03, 1.028048215992e+00, 1.004111099385e+00
4.137451171875e-03, 1.028757222386e+00, 1.004192765264e+00
4.168212890625e-03, 1.029630204843e+00, 1.004361508767e+00
4.198974609375e-03, 1.030379265521e+00, 1.004447968133e+00
4.229736328125e-03, 1.031296842558e+00, 1.004626580440e+00
4.260498046875e-03, 1.032087970921e+00, 1.004718104032e+00
4.291259765625e-03, 1.033052218262e+00, 1.004907190114e+00
4.322021484375e-03, 1.033887527314e+00, 1.005004072922e+00
4.352783203125e-03, 1.034900605127e+00, 1.005204218033e+00
4.383544921875e-03, 1.035782292214e+00, 1.005306773600e+00
4.414306640625e-03, 1.036846425815e+00, 1.005518616544e+00
4.445068359375e-03, 1.037776758438e+00, 1.005627200978e+00
4.475830078125e-03, 1.038894246313e+00, 1.005851424409e+00
4.506591796875e-03, 1.039875568544e+00, 1.005966375624e+00
4.537353515625e-03, 1.041048796345e+00, 1.006203711078e+00
4.568115234375e-03, 1.042083539003e+00, 1.006325394455e+00
4.598876953125e-03, 1.043314975508e+00, 1.006576628954e+00
4.629638671875e-03, 1.044405640844e+00, 1.006705427918e+00
4.660400390625e-03, 1.045697803317e+00, 1.006971360766e+00
4.691162109375e-03, 1.046846949129e+00, 1.007107699675e+00
4.721923828125e-03, 1.048202418121e+00, 1.007389178151e+00
4.752685546875e-03, 1.049412701390e+00, 1.007533500062e+00
4.783447265625e-03, 1.050834157320e+00, 1.007831421118e+00
4.814208984375e-03, 1.052108325102e+00, 1.007984199975e+00
4.844970703125e-03, 1.053598500220e+00, 1.008299546915e+00
4.875732421875e-03, 1.054939342798e+00, 1.008461274163e+00
4.906494140625e-03, 1.056501021619e+00, 1.008795044642e+00
4.937255859375e-03, 1.057911420694e+00, 1.008966227583e+00
4.968017578125e-03, 1.059547477432e+00, 1.009319500894e+00
4.998779296875e-03, 1.061030398807e+00, 1.009500708000e+00
5.029541015625e-03, 1.062743744773e+00, 1.009874629346e+00
5.060302734375e-03, 1.064302202754e+00, 1.010066439003e+00
5.091064453125e-03, 1.066095796129e+00, 1.010462203667e+00
5.121826171875e-03, 1.067732882748e+00, 1.010665231104e+00
