# x, vel
1.491943359375e-03, 5.189915602327e+07
1.522705078125e-03, 5.189913024973e+07
1.553466796875e-03, 5.189907686008e+07
1.584228515625e-03, 5.189904939189e+07
1.614990234375e-03, 5.189899269263e+07
1.645751953125e-03, 5.189896351396e+07
1.676513671875e-03, 5.189890318851e+07
1.707275390625e-03, 5.189887214732e+07
1.738037109375e-03, 5.189880800831e+07
1.768798828125e-03, 5.189877504152e+07
1.799560546875e-03, 5.189870694114e+07
1.830322265625e-03, 5.189867202573e+07
1.861083984375e-03, 5.189859965539e+07
1.891845703125e-03, 5.189856250860e+07
1.922607421875e-03, 5.189848584937e+07
1.953369140625e-03, 5.189844638182e+07
1.984130859375e-03, 5.189836502232e+07
2.014892578125e-03, 5.189832324523e+07
2.045654296875e-03, 5.189823683737e+07
2.076416015625e-03, 5.189819245974e+07
2.107177734375e-03, 5.189810095454e+07
2.137939453125e-03, 5.189805391458e+07
2.168701171875e-03, 5.189795679341e+07
2.199462890625e-03, 5.189790691293e+07
2.230224609375e-03, 5.189780417937e+07
2.260986328125e-03, 5.189775115751e+07
2.291748046875e-03, 5.189764249946e+07
2.322509765625e-03, 5.189758602714e+07
2.353271484375e-03, 5.189747065090e+07
2.384033203125e-03, 5.189741126268e+07
2.414794921875e-03, 5.189728870766e+07
2.445556640625e-03, 5.189722595664e+07
2.476318359375e-03, 5.189709599693e+07
2.507080078125e-03, 5.189702949633e+07
2.537841796875e-03, 5.189689174472e+07
2.568603515625e-03, 5.189682137334e+07
2.599365234375e-03, 5.189667575816e+07
2.630126953125e-03, 5.189660122508e+07
2.660888671875e-03, 5.189644687092e+07
2.691650390625e-03, 5.189636756594e+07
2.722412109375e-03, 5.189620428299e+07
2.753173828125e-03, 5.189612038537e+07
2.783935546875e-03, 5.189594748097e+07
2.814697265625e-03, 5.189585864256e+07
2.845458984375e-03, 5.189567549161e+07
2.876220703125e-03, 5.189558143837e+07
2.906982421875e-03, 5.189538727035e+07
2.937744140625e-03, 5.189528773774e+07
